threshold,ticker,trade_type,sim_exit_time,sim_exit_price,sim_return_pct,sim_duration_minutes,actual_exit_time,actual_exit_price,actual_return_pct,actual_duration_minutes,return_delta_pct,duration_delta_minutes,was_winner,is_winner,outcome_changed,macd_peak_valley,macd_exit_level,original_index
0.75,ASIANPAINT,Buy,2024-04-24 09:35:00,2865.95,-0.46883953532792727,15.0,2024-04-24 09:35:00,2865.95,-0.4688395353279272,15.0,-5.551115123125783e-17,0.0,False,False,False,7.385346656037655,5.539009992028241,4323
0.75,ASIANPAINT,Buy,2024-04-25 15:15:00,2860.85,-0.10998603351955626,70.0,2024-04-25 15:15:00,2860.85,-0.1099860335195562,70.0,-5.551115123125783e-17,0.0,False,False,False,2.1324722105059664,1.5993541578794748,4326
0.75,ASIANPAINT,Buy,2024-04-26 10:05:00,2860.9,-0.4679318802511809,25.0,2024-04-26 10:05:00,2860.9,-0.4679318802511809,25.0,0.0,0.0,False,False,False,4.234600010339818,3.1759500077548637,4327
0.75,ASIANPAINT,Buy,2024-04-26 11:05:00,2867.0,-0.1862586383971281,10.0,2024-04-26 11:05:00,2867.0,-0.1862586383971281,10.0,0.0,0.0,False,False,False,3.613520494757722,2.7101403710682916,4328
0.75,ASIANPAINT,Buy,2024-04-26 11:20:00,2862.6,-0.08551334182650469,10.0,2024-04-26 11:20:00,2862.6,-0.0855133418265046,10.0,-9.71445146547012e-17,0.0,False,False,False,3.4089484383507624,2.556711328763072,4329
0.75,ASIANPAINT,Buy,2024-04-29 11:20:00,2866.7,0.20448468112623552,90.0,2024-04-29 11:20:00,2866.7,0.2044846811262355,90.0,2.7755575615628914e-17,0.0,True,True,False,2.859145798072859,2.1443593485546444,4332
0.75,ASIANPAINT,Buy,2024-04-30 11:35:00,2908.0,1.1478260869565218,135.0,2024-04-30 11:35:00,2908.0,1.1478260869565218,135.0,0.0,0.0,True,True,False,11.980132699730802,8.985099524798102,4333
0.75,ASIANPAINT,Buy,2024-05-02 11:50:00,2936.25,0.573728378146943,135.0,2024-05-02 11:50:00,2936.25,0.573728378146943,135.0,0.0,0.0,True,True,False,10.841321648910252,8.13099123668269,4336
0.75,ASIANPAINT,Buy,2024-05-02 12:50:00,2945.3,0.061151690164776014,40.0,2024-05-02 12:50:00,2945.3,0.061151690164776,40.0,1.3877787807814457e-17,0.0,True,True,False,13.514826869475655,10.136120152106741,4337
0.75,ASIANPAINT,Buy,2024-05-02 14:35:00,2967.25,0.312711291413117,75.0,2024-05-02 14:35:00,2967.25,0.312711291413117,75.0,0.0,0.0,True,True,False,17.90004188175044,13.42503141131283,4338
0.75,ASIANPAINT,Buy,2024-05-03 10:05:00,2974.8,-0.4384350212523816,15.0,2024-05-03 10:05:00,2974.8,-0.4384350212523815,15.0,-1.1102230246251565e-16,0.0,False,False,False,16.642312667596343,12.481734500697257,4339
