threshold,total_trades,num_wins,num_losses,win_rate_pct,profit_factor,avg_win_pct,avg_loss_pct,total_return_pct,sharpe_ratio,avg_duration_minutes,losers_to_winners_count,winners_to_losers_count,net_outcome_improvement,window_id,window_start,window_end,window_num_trades,trade_type
0.95,693,364,301,52.52525252525253,2.2475709813852136,0.4067555134932144,0.21885421750161546,82.18388744354377,3.6653625014959514,70.59163059163059,42,9,33,9,2024-04-30 09:15:00,2024-05-30 09:15:00,1375,Buy
0.5,730,383,320,52.465753424657535,2.630066519239198,0.536237784652957,0.24402789580096435,127.29014486577397,4.211684937236905,72.28767123287672,13,2,11,10,2024-05-15 09:15:00,2024-06-14 09:15:00,1418,Buy
0.6,730,384,319,52.602739726027394,2.675831405440643,0.5354006991682924,0.24085780748696536,128.76022789228233,4.270974246650448,72.23972602739725,14,2,12,10,2024-05-15 09:15:00,2024-06-14 09:15:00,1418,Buy
0.7,730,385,318,52.73972602739726,2.7466001853917965,0.534546544630519,0.2356262606111752,130.8712688083961,4.356195561477535,72.17123287671232,15,2,13,10,2024-05-15 09:15:00,2024-06-14 09:15:00,1418,Buy
0.8,730,386,317,52.87671232876713,2.782589874261788,0.5340771975907033,0.23371300433201833,132.06677589676167,4.4019030588071315,72.04109589041096,16,2,14,10,2024-05-15 09:15:00,2024-06-14 09:15:00,1418,Buy
0.9,730,389,312,53.28767123287671,2.9106583845824487,0.5318555442270771,0.22782294500462932,135.81104786288867,4.543462600971647,71.68493150684931,22,5,17,10,2024-05-15 09:15:00,2024-06-14 09:15:00,1418,Buy
0.95,730,398,304,54.52054794520548,3.18630946421904,0.5253336600203031,0.2158523411645934,143.46368497404424,4.8403705705811815,71.23287671232876,33,7,26,10,2024-05-15 09:15:00,2024-06-14 09:15:00,1418,Buy
0.5,731,367,329,50.20519835841313,2.6111412585138623,0.5443713360186745,0.23256001591675984,123.27203508223954,4.261972153080873,49.3844049247606,13,3,10,11,2024-05-30 09:15:00,2024-06-29 09:15:00,1431,Buy
0.6,731,368,328,50.341997264021884,2.6656671851380227,0.5431287353381691,0.22859715960123633,124.8915062552407,4.331537957197053,49.316005471956224,14,3,11,11,2024-05-30 09:15:00,2024-06-29 09:15:00,1431,Buy
0.7,731,371,325,50.752393980848154,2.7290124721417532,0.5409921953259165,0.22629555733469858,127.16204833213799,4.419813662865869,49.240766073871406,17,3,14,11,2024-05-30 09:15:00,2024-06-29 09:15:00,1431,Buy
0.8,731,373,323,51.02599179206566,2.7952237883999174,0.5401046544447442,0.2231349735505692,129.38643965105575,4.506584796772287,49.11764705882353,19,3,16,11,2024-05-30 09:15:00,2024-06-29 09:15:00,1431,Buy
0.9,731,378,317,51.70998632010944,2.905672363548539,0.5370929311333955,0.22041204874744352,133.15050851548392,4.654260234877541,48.79616963064296,24,3,21,11,2024-05-30 09:15:00,2024-06-29 09:15:00,1431,Buy
0.95,731,393,303,53.76196990424077,3.1171991973359834,0.5246061586716065,0.21828241542591512,140.03064848388908,4.919363260697184,48.39945280437757,41,5,36,11,2024-05-30 09:15:00,2024-06-29 09:15:00,1431,Buy
0.5,372,175,181,47.043010752688176,1.7310252117868763,0.389963744577149,0.21781125257533868,28.81981858486478,2.7759406535507796,45.71236559139785,7,2,5,12,2024-06-14 09:15:00,2024-07-14 09:15:00,744,Buy
0.6,372,175,181,47.043010752688176,1.7432778571452991,0.389963744577149,0.21628036407013518,29.09690940430661,2.8066210052775062,45.65860215053763,7,2,5,12,2024-06-14 09:15:00,2024-07-14 09:15:00,744,Buy
0.7,372,177,179,47.58064516129033,1.7842952181150997,0.3895202986876148,0.2158656889672431,30.305134542571302,2.9253320148158863,45.57795698924731,9,2,7,12,2024-06-14 09:15:00,2024-07-14 09:15:00,744,Buy
0.8,372,179,177,48.11827956989247,1.8560183712644291,0.3878425675165258,0.21132601674743182,32.0191146211627,3.1044264185299366,45.456989247311824,11,2,9,12,2024-06-14 09:15:00,2024-07-14 09:15:00,744,Buy
0.9,372,183,173,49.193548387096776,1.9737262822433281,0.386122212045857,0.206939239107692,34.85987643876113,3.404905322549297,45.094086021505376,15,2,13,12,2024-06-14 09:15:00,2024-07-14 09:15:00,744,Buy
0.95,372,194,163,52.1505376344086,2.133711671199949,0.3765284843779083,0.21002753191987736,38.81203826637423,3.7869290547615866,44.6505376344086,27,3,24,12,2024-06-14 09:15:00,2024-07-14 09:15:00,744,Buy
0.5,725,386,301,53.241379310344826,2.3525386309185468,0.42956466450501263,0.23415993829858017,95.32981907106225,4.191583444326783,49.66206896551724,6,10,-4,1,2024-01-01 09:15:00,2024-01-31 09:15:00,1378,Sell
0.6,725,386,301,53.241379310344826,2.3546100947207025,0.42956466450501263,0.23395393653328236,95.39182560241687,4.19458721087369,49.6551724137931,6,10,-4,1,2024-01-01 09:15:00,2024-01-31 09:15:00,1378,Sell
0.7,725,387,300,53.37931034482759,2.431815430988826,0.42851723513004186,0.2273146334518403,97.64177995977411,4.319197136205663,49.6,7,10,-3,1,2024-01-01 09:15:00,2024-01-31 09:15:00,1378,Sell
0.8,725,390,297,53.79310344827586,2.4626219734689396,0.4265190848030622,0.2274305889970063,98.79555814108338,4.374400486570603,49.50344827586207,10,10,0,1,2024-01-01 09:15:00,2024-01-31 09:15:00,1378,Sell
0.9,725,396,290,54.62068965517241,2.646446509585451,0.42488708993368657,0.21923384615652552,104.6774722283475,4.688618803213393,49.06206896551724,18,12,6,1,2024-01-01 09:15:00,2024-01-31 09:15:00,1378,Sell
0.95,725,400,284,55.172413793103445,2.8989202854197997,0.4258107381603901,0.206881657645122,111.56990449294136,5.063442803323195,48.57241379310345,26,16,10,1,2024-01-01 09:15:00,2024-01-31 09:15:00,1378,Sell
0.5,746,374,325,50.134048257372655,2.0916745662650733,0.484249805586859,0.2664180103649637,94.52357392087208,3.6869824767051007,47.43967828418231,12,8,4,2,2024-01-16 09:15:00,2024-02-15 09:15:00,1427,Sell
0.6,746,374,325,50.134048257372655,2.090758532398328,0.484249805586859,0.26653473734056776,94.48563765380078,3.685171723142868,47.43297587131367,12,8,4,2,2024-01-16 09:15:00,2024-02-15 09:15:00,1427,Sell
0.7,746,377,322,50.53619302949062,2.141249539700369,0.48058631089468345,0.2627783564562973,96.56640842836796,3.781828521123424,47.365951742627345,15,8,7,2,2024-01-16 09:15:00,2024-02-15 09:15:00,1427,Sell
