trade_id,ticker,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,strategy
TCS_0070,TCS,2025-07-21T10:30:00+05:30,2025-07-24T10:30:00+05:30,SHORT,3169.8,3162.8,10,-80.0,phase4_full_backtest
RELIANCE_0070,RELIANCE,2025-07-21T11:00:00+05:30,2025-07-24T11:00:00+05:30,LONG,1445.4,1413.1,10,-473.0,phase4_full_backtest
NIFTY_0071,NIFTY,2025-07-21T12:15:00+05:30,2025-07-23T14:00:00+05:30,LONG,25029.0,25208.05,10,1640.5,phase4_full_backtest
RELIANCE_0071,RELIANCE,2025-07-21T13:45:00+05:30,2025-07-23T11:15:00+05:30,SHORT,1424.4,1419.5,10,-101.0,phase4_full_backtest
BANKNIFTY_0071,BANKNIFTY,2025-07-21T14:30:00+05:30,2025-07-24T14:30:00+05:30,LONG,56837.55,57095.15,10,2426.0,phase4_full_backtest
INFY_0071,INFY,2025-07-22T09:15:00+05:30,2025-07-25T09:15:00+05:30,SHORT,1579.0,1549.5,10,145.0,phase4_full_backtest
TCS_0071,TCS,2025-07-22T11:45:00+05:30,2025-07-24T14:45:00+05:30,SHORT,3166.8,3150.3,10,15.0,phase4_full_backtest
NIFTY_0072,NIFTY,2025-07-22T12:45:00+05:30,2025-07-25T12:45:00+05:30,SHORT,25115.55,24855.9,10,2446.5,phase4_full_backtest
RELIANCE_0072,RELIANCE,2025-07-22T13:45:00+05:30,2025-07-25T13:45:00+05:30,SHORT,1416.5,1397.4,10,41.0,phase4_full_backtest
TCS_0072,TCS,2025-07-22T15:15:00+05:30,2025-07-25T15:15:00+05:30,SHORT,3164.7,3140.0,10,97.0,phase4_full_backtest
INFY_0072,INFY,2025-07-23T09:45:00+05:30,2025-07-24T11:00:00+05:30,LONG,1577.9,1560.8,10,-321.0,phase4_full_backtest
BANKNIFTY_0072,BANKNIFTY,2025-07-23T11:00:00+05:30,2025-07-24T12:00:00+05:30,LONG,56862.55,56905.95,10,284.0,phase4_full_backtest
RELIANCE_0073,RELIANCE,2025-07-23T14:30:00+05:30,2025-07-25T11:00:00+05:30,LONG,1421.7,1393.8,10,-429.0,phase4_full_backtest
NIFTY_0073,NIFTY,2025-07-23T14:45:00+05:30,2025-07-25T15:15:00+05:30,SHORT,25212.55,24832.2,10,3653.5,phase4_full_backtest
BANKNIFTY_0073,BANKNIFTY,2025-07-24T09:45:00+05:30,2025-07-25T15:15:00+05:30,SHORT,57048.9,56520.45,10,5134.5,phase4_full_backtest
