Trade Type,Entry Time,Entry Price,High During Trade,Low During Trade,High Time,Low Time,Exit Time,Exit Price,Profit (Currency),Profit (%),Trade Duration (min),PnL,Target (%),Drawdown (%),RRR,Recovery Time (min),ticker,strategy_generated,risk_processed
Buy,2025-05-05 09:20:00+05:30,1432.8,1438.5,1430.8,2025-05-05 09:40:00+05:30,2025-05-05 09:30:00+05:30,2025-05-05 10:35:00+05:30,1431.7,-1.099999999999909,-0.0767727526521433,75.0,0.0,0.4,0.14,-0.55,65.0,RELIANCE,True,False
Buy,2025-05-05 09:20:00+05:30,3482.1,3502.5,3473.8,2025-05-05 09:50:00+05:30,2025-05-05 10:25:00+05:30,2025-05-05 10:35:00+05:30,3478.2,-3.900000000000091,-0.1120013784785069,75.0,0.0,0.59,0.24,-0.47,10.0,TCS,True,False
Buy,2025-05-05 09:25:00+05:30,1520.3,1520.3,1513.2,2025-05-05 09:25:00+05:30,2025-05-05 10:20:00+05:30,2025-05-05 10:20:00+05:30,1513.2,-7.099999999999909,-0.4670130895217989,55.0,0.0,0.0,0.47,-1.0,0.0,INFY,True,False
Buy,2025-05-05 09:25:00+05:30,24443.15,24522.65,24414.05,2025-05-05 10:40:00+05:30,2025-05-05 09:30:00+05:30,2025-05-05 11:05:00+05:30,24472.95,29.799999999999272,0.1219155468914574,100.0,0.0,0.33,0.12,1.02,95.0,NIFTY,True,False
Sell,2025-05-05 09:55:00+05:30,55118.4,55139.1,55038.9,2025-05-05 10:35:00+05:30,2025-05-05 10:10:00+05:30,2025-05-05 10:35:00+05:30,55139.1,-20.69999999999709,-0.0375555168509918,40.0,0.0,0.14,0.04,-1.0,0.0,BANKNIFTY,True,False
Sell,2025-05-05 11:00:00+05:30,54938.4,54980.9,54802.85,2025-05-05 11:05:00+05:30,2025-05-05 12:15:00+05:30,2025-05-05 12:50:00+05:30,54858.85,79.55000000000291,0.1447985379989277,110.0,0.0,0.25,0.08,1.87,105.0,BANKNIFTY,True,False
Sell,2025-05-05 12:05:00+05:30,1504.3,1507.7,1503.9,2025-05-05 12:50:00+05:30,2025-05-05 12:10:00+05:30,2025-05-05 12:50:00+05:30,1507.7,-3.400000000000091,-0.2260187462607253,45.0,0.0,0.03,0.23,-1.0,0.0,INFY,True,False
Sell,2025-05-05 14:25:00+05:30,3455.2,3455.2,3453.7,2025-05-05 14:25:00+05:30,2025-05-05 14:35:00+05:30,2025-05-05 14:50:00+05:30,3455.2,0.0,0.0,25.0,0.0,0.04,0.0,,25.0,TCS,True,False
Buy,2025-05-05 14:50:00+05:30,1510.8,1510.8,1506.4,2025-05-05 14:50:00+05:30,2025-05-05 15:15:00+05:30,2025-05-05 15:15:00+05:30,1506.4,-4.399999999999864,-0.2912364310299089,25.0,0.0,0.0,0.29,-1.0,0.0,INFY,True,False
Sell,2025-05-06 09:15:00+05:30,1503.0,1507.1,1500.5,2025-05-06 09:40:00+05:30,2025-05-06 09:50:00+05:30,2025-05-06 10:05:00+05:30,1505.4,-2.400000000000091,-0.1596806387225609,50.0,0.0,0.17,0.27,-0.59,25.0,INFY,True,False
