Trade Type,Entry Time,Entry Price,High During Trade,Low During Trade,High Time,Low Time,Exit Time,Exit Price,Profit (Currency),Profit (%),Trade Duration (min),PnL,Target (%),Drawdown (%),RRR,Recovery Time (min),ticker,strategy_generated,risk_processed
Buy,2022-01-05 10:50:00+05:30,287.85,288.3,287.8,2022-01-05 11:00:00+05:30,2022-01-05 10:55:00+05:30,2022-01-05 11:05:00+05:30,287.85,0.0,0.0,15.0,0.0,0.16,0.02,0.0,10.0,ABFRL,True,False
Buy,2022-01-05 11:10:00+05:30,287.95,287.95,287.9,2022-01-05 11:10:00+05:30,2022-01-05 11:15:00+05:30,2022-01-05 11:20:00+05:30,287.95,0.0,0.0,10.0,0.0,0.0,0.02,0.0,5.0,ABFRL,True,False
Sell,2022-01-05 14:05:00+05:30,285.1,287.05,284.6,2022-01-05 14:35:00+05:30,2022-01-05 14:10:00+05:30,2022-01-05 14:35:00+05:30,287.05,-1.9499999999999889,-0.6839705366538016,30.0,0.0,0.18,0.68,-1.0,0.0,ABFRL,True,False
Sell,2022-01-06 09:20:00+05:30,283.65,285.15,281.75,2022-01-06 10:15:00+05:30,2022-01-06 09:30:00+05:30,2022-01-06 11:05:00+05:30,283.1,0.5499999999999545,0.1939009342499399,105.0,0.0,0.67,0.53,0.37,50.0,ABFRL,True,False
Buy,2022-01-06 13:05:00+05:30,285.35,294.45,285.35,2022-01-06 15:05:00+05:30,2022-01-06 13:05:00+05:30,2022-01-06 15:15:00+05:30,293.3,7.949999999999989,2.7860522165761306,130.0,0.0,3.19,0.0,,130.0,ABFRL,True,False
Buy,2022-01-07 09:15:00+05:30,295.95,295.95,291.85,2022-01-07 09:15:00+05:30,2022-01-07 09:35:00+05:30,2022-01-07 09:35:00+05:30,291.85,-4.099999999999966,-1.3853691501942782,20.0,0.0,0.0,1.39,-1.0,0.0,ABFRL,True,False
Buy,2022-01-07 12:20:00+05:30,294.5,297.7,294.5,2022-01-07 12:25:00+05:30,2022-01-07 12:20:00+05:30,2022-01-07 13:05:00+05:30,296.5,2.0,0.6791171477079796,45.0,0.0,1.09,0.0,,45.0,ABFRL,True,False
Buy,2022-01-07 13:10:00+05:30,295.95,297.0,295.95,2022-01-07 13:20:00+05:30,2022-01-07 13:10:00+05:30,2022-01-07 13:35:00+05:30,296.55,0.6000000000000227,0.2027369488089281,25.0,0.0,0.35,0.0,,25.0,ABFRL,True,False
Sell,2022-01-10 09:15:00+05:30,294.95,296.2,294.95,2022-01-10 09:20:00+05:30,2022-01-10 09:15:00+05:30,2022-01-10 09:20:00+05:30,296.2,-1.25,-0.4238006441769791,5.0,0.0,0.0,0.42,-1.0,0.0,ABFRL,True,False
Buy,2022-01-10 11:40:00+05:30,297.5,297.5,295.3,2022-01-10 11:40:00+05:30,2022-01-10 12:05:00+05:30,2022-01-10 12:05:00+05:30,295.3,-2.1999999999999886,-0.7394957983193239,25.0,0.0,0.0,0.74,-1.0,0.0,ABFRL,True,False
Sell,2022-01-10 15:05:00+05:30,293.45,293.45,293.05,2022-01-10 15:05:00+05:30,2022-01-10 15:15:00+05:30,2022-01-10 15:15:00+05:30,293.05,0.3999999999999772,0.1363094223888148,10.0,0.0,0.14,0.0,,10.0,ABFRL,True,False
Sell,2022-01-11 09:15:00+05:30,293.4,294.35,293.4,2022-01-11 09:20:00+05:30,2022-01-11 09:15:00+05:30,2022-01-11 09:35:00+05:30,293.8,-0.4000000000000341,-0.1363326516700866,20.0,0.0,0.0,0.32,-0.42,15.0,ABFRL,True,False
Buy,2022-01-11 11:05:00+05:30,294.6,295.5,293.9,2022-01-11 12:00:00+05:30,2022-01-11 11:45:00+05:30,2022-01-11 12:05:00+05:30,294.8,0.1999999999999886,0.067888662593343,60.0,0.0,0.31,0.24,0.29,20.0,ABFRL,True,False
Buy,2022-01-11 12:10:00+05:30,293.9,293.9,293.6,2022-01-11 12:10:00+05:30,2022-01-11 12:20:00+05:30,2022-01-11 12:20:00+05:30,293.6,-0.2999999999999545,-0.102075535896548,10.0,0.0,0.0,0.1,-1.0,0.0,ABFRL,True,False
Sell,2022-01-11 12:35:00+05:30,294.0,294.1,294.0,2022-01-11 12:45:00+05:30,2022-01-11 12:35:00+05:30,2022-01-11 12:50:00+05:30,294.0,0.0,0.0,15.0,0.0,0.0,0.03,0.0,5.0,ABFRL,True,False
Buy,2022-01-11 13:25:00+05:30,295.15,295.15,294.15,2022-01-11 13:25:00+05:30,2022-01-11 13:35:00+05:30,2022-01-11 13:35:00+05:30,294.15,-1.0,-0.338810774182619,10.0,0.0,0.0,0.34,-1.0,0.0,ABFRL,True,False
Buy,2022-01-11 13:40:00+05:30,294.4,294.4,293.25,2022-01-11 13:40:00+05:30,2022-01-11 13:50:00+05:30,2022-01-11 13:50:00+05:30,293.25,-1.1499999999999773,-0.3906249999999923,10.0,0.0,0.0,0.39,-1.0,0.0,ABFRL,True,False
Sell,2022-01-11 13:55:00+05:30,293.35,294.15,291.85,2022-01-11 15:05:00+05:30,2022-01-11 14:55:00+05:30,2022-01-11 15:05:00+05:30,294.15,-0.7999999999999545,-0.2727117777398856,70.0,0.0,0.51,0.27,-1.0,0.0,ABFRL,True,False
Buy,2022-01-12 09:20:00+05:30,299.25,306.9,298.5,2022-01-12 10:30:00+05:30,2022-01-12 09:50:00+05:30,2022-01-12 11:05:00+05:30,304.1,4.850000000000023,1.6207184628237337,105.0,0.0,2.56,0.25,6.47,75.0,ABFRL,True,False
Sell,2022-01-12 15:05:00+05:30,301.05,301.2,301.05,2022-01-12 15:15:00+05:30,2022-01-12 15:05:00+05:30,2022-01-12 15:15:00+05:30,301.2,-0.1499999999999772,-0.0498256103637194,10.0,0.0,0.0,0.05,-1.0,0.0,ABFRL,True,False
Buy,2022-01-13 10:35:00+05:30,304.8,305.35,304.45,2022-01-13 10:50:00+05:30,2022-01-13 10:45:00+05:30,2022-01-13 11:05:00+05:30,304.6,-0.1999999999999886,-0.0656167979002587,30.0,0.0,0.18,0.11,-0.57,20.0,ABFRL,True,False
Buy,2022-01-13 11:50:00+05:30,305.2,305.2,304.65,2022-01-13 11:50:00+05:30,2022-01-13 12:05:00+05:30,2022-01-13 12:05:00+05:30,304.65,-0.5500000000000114,-0.1802096985583261,15.0,0.0,0.0,0.18,-1.0,0.0,ABFRL,True,False
Buy,2022-01-13 14:35:00+05:30,305.25,309.2,305.25,2022-01-13 15:10:00+05:30,2022-01-13 14:35:00+05:30,2022-01-13 15:15:00+05:30,308.6,3.3500000000000227,1.097461097461105,40.0,0.0,1.29,0.0,,40.0,ABFRL,True,False
Buy,2022-01-14 09:15:00+05:30,308.0,311.5,308.0,2022-01-14 09:35:00+05:30,2022-01-14 09:15:00+05:30,2022-01-14 09:50:00+05:30,308.5,0.5,0.1623376623376623,35.0,0.0,1.14,0.0,,35.0,ABFRL,True,False
Sell,2022-01-17 09:15:00+05:30,311.8,311.8,311.55,2022-01-17 09:15:00+05:30,2022-01-17 09:20:00+05:30,2022-01-17 09:20:00+05:30,311.55,0.25,0.0801796023091725,5.0,0.0,0.08,0.0,,5.0,ABFRL,True,False
Sell,2022-01-17 09:50:00+05:30,308.35,308.55,307.5,2022-01-17 10:20:00+05:30,2022-01-17 10:00:00+05:30,2022-01-17 10:20:00+05:30,308.55,-0.1999999999999886,-0.0648613588454641,30.0,0.0,0.28,0.06,-1.0,0.0,ABFRL,True,False
Sell,2022-01-17 10:25:00+05:30,309.5,309.5,308.35,2022-01-17 10:25:00+05:30,2022-01-17 10:30:00+05:30,2022-01-17 10:35:00+05:30,308.65,0.8500000000000227,0.2746365105008151,10.0,0.0,0.37,0.0,,10.0,ABFRL,True,False
Buy,2022-01-17 11:20:00+05:30,311.0,315.25,310.3,2022-01-17 12:20:00+05:30,2022-01-17 11:25:00+05:30,2022-01-17 13:05:00+05:30,313.65,2.6499999999999773,0.8520900321543335,105.0,0.0,1.37,0.23,3.79,100.0,ABFRL,True,False
Buy,2022-01-18 10:20:00+05:30,312.45,318.25,312.45,2022-01-18 11:00:00+05:30,2022-01-18 10:20:00+05:30,2022-01-18 11:35:00+05:30,317.0,4.550000000000011,1.4562329972795685,75.0,0.0,1.86,0.0,,75.0,ABFRL,True,False
Sell,2022-01-18 14:50:00+05:30,312.0,312.0,308.1,2022-01-18 14:50:00+05:30,2022-01-18 15:10:00+05:30,2022-01-18 15:15:00+05:30,309.5,2.5,0.8012820512820513,25.0,0.0,1.25,0.0,,25.0,ABFRL,True,False
Sell,2022-01-19 09:15:00+05:30,309.1,310.75,309.1,2022-01-19 09:20:00+05:30,2022-01-19 09:15:00+05:30,2022-01-19 09:20:00+05:30,310.75,-1.6499999999999773,-0.5338078291814873,5.0,0.0,0.0,0.53,-1.0,0.0,ABFRL,True,False
